stateabbr,statedesc,countyname,countyfips,totalpopulation,obesity_crudeprev,lpa_crudeprev,csmoking_crudeprev,depression_crudeprev,bphigh_crudeprev,access2_crudeprev
TX,Texas,Hopkins,48223,38172,37.5,29.6,15.5,24.1,37.5,16.1
TX,Texas,Trinity,48455,14228,37.7,31.7,16.8,23.7,43.9,14.5
TX,Texas,Terry,48445,11547,40.7,37.3,16.7,21.9,37.6,29.2
TX,Texas,Concho,48095,3297,37.1,32,15.8,20,38.5,23.7
TX,Texas,Orange,48361,85722,38.4,27.6,15.7,25,36.6,13.4
TX,Texas,Randall,48381,148255,35.1,23.5,12,23.6,32.8,14
TX,Texas,Hale,48189,31761,38.9,36.1,15.7,21.3,36.3,28.9
TX,Texas,Lee,48287,18240,39.8,31.9,16.4,22.9,40.6,18.6
TX,Texas,Jones,48253,20381,38.7,30.7,17.1,21.4,36.2,22.3
TX,Texas,Scurry,48415,16212,38.1,31,14.2,22.1,35.3,21.3
TX,Texas,Brown,48049,38709,34.9,30.1,15.3,23.5,38.1,16.6
TX,Texas,Fisher,48151,3612,36.1,28.8,13.4,21.6,40,15.7
TX,Texas,Deaf Smith,48117,18347,40.7,39.8,15.7,20.9,35.5,34.7
TX,Texas,Bexar,48029,2087679,34.1,30.6,12.2,22.2,33.5,21.9
TX,Texas,Menard,48327,1958,36.5,33.3,14,20.9,44.2,20.5
TX,Texas,Newton,48351,12039,42.8,37.1,22.2,25,46.2,16.2
TX,Texas,Upton,48461,3109,40.9,37.1,16.6,21.9,37.9,27.2
TX,Texas,Lipscomb,48295,2906,36.7,30.6,14.5,22,38.6,20.1
TX,Texas,Hunt,48231,113347,36.7,28,15.2,23.3,35.6,16.2
TX,Texas,Clay,48077,10738,34.9,26.4,14.2,23.6,39.3,11.3
TX,Texas,Mills,48333,4548,33,26.9,12.7,21.9,40.4,13.4
TX,Texas,Grayson,48181,146907,33.9,27.4,14.4,24.3,36.1,13.7
TX,Texas,Kenedy,48261,343,37.9,40.2,15.1,19.3,38.2,35.1
TX,Texas,Winkler,48495,7414,37.6,33.2,14.1,20.5,33.8,27.6
